Segments,Balance,Asus,Toshiba,HP
512,0.25,"0.031[S], 106[inter], 163[I/O]","0.016[S], 130[inter], 379[I/O]","10.078[S], 114[inter], 21624[I/O]"
512,0.5,"0.0[S], 101[inter], 163[I/O]","0.047[S], 90[inter], 375[I/O]","19.851[S], 89[inter], 30575[I/O]"
512,0.75,"0.008[S], 42[inter], 161[I/O]","0.016[S], 34[inter], 372[I/O]","14.294[S], 39[inter], 23598[I/O]"
512,0.25,"0.0[S], 105[inter], 163[I/O]","0.0[S], 129[inter], 378[I/O]","11.428[S], 128[inter], 27890[I/O]"
512,0.5,"0.017[S], 86[inter], 162[I/O]","0.0[S], 122[inter], 377[I/O]","18.098[S], 122[inter], 37278[I/O]"
512,0.75,"0.015[S], 58[inter], 161[I/O]","0.0[S], 64[inter], 375[I/O]","23.414[S], 31[inter], 30726[I/O]"
1024,0.25,"0.005[S], 285[inter], 327[I/O]","0.016[S], 260[inter], 752[I/O]","43.265[S], 214[inter], 81261[I/O]"
1024,0.5,"0.015[S], 155[inter], 322[I/O]","0.016[S], 158[inter], 745[I/O]","33.621[S], 356[inter], 56303[I/O]"
1024,0.75,"0.005[S], 80[inter], 320[I/O]","0.129[S], 97[inter], 741[I/O]","14.232[S], 196[inter], 32162[I/O]"
1024,0.25,"0.0[S], 229[inter], 325[I/O]","0.0[S], 345[inter], 758[I/O]","72.719[S], 291[inter], 102020[I/O]"
1024,0.5,"0.0[S], 241[inter], 325[I/O]","0.031[S], 209[inter], 750[I/O]","34.122[S], 369[inter], 71672[I/O]"
1024,0.75,"0.0[S], 63[inter], 320[I/O]","0.031[S], 88[inter], 741[I/O]","15.203[S], 219[inter], 40894[I/O]"
2048,0.25,"0.002[S], 521[inter], 646[I/O]","0.078[S], 478[inter], 1498[I/O]","85.085[S], 1069[inter], 159093[I/O]"
2048,0.5,"0.0[S], 329[inter], 640[I/O]","0.032[S], 299[inter], 1486[I/O]","59.702[S], 811[inter], 108757[I/O]"
2048,0.75,"0.0[S], 186[inter], 635[I/O]","0.016[S], 159[inter], 1476[I/O]","32.813[S], 411[inter], 69190[I/O]"
2048,0.25,"0.016[S], 572[inter], 649[I/O]","0.125[S], 470[inter], 1501[I/O]","124.722[S], 919[inter], 209414[I/O]"
2048,0.5,"0.003[S], 340[inter], 641[I/O]","0.016[S], 291[inter], 1488[I/O]","89.834[S], 908[inter], 146608[I/O]"
2048,0.75,"0.006[S], 189[inter], 638[I/O]","0.031[S], 222[inter], 1484[I/O]","40.642[S], 447[inter], 81559[I/O]"
4096,0.25,"0.031[S], 975[inter], 1289[I/O]","0.062[S], 952[inter], 2994[I/O]","164.422[S], 2441[inter], 313531[I/O]"
