Segments,Distribution,Balance,Time,Intersections,I/O accesses
512,UNIFORM,0.25,0.031,106,163
512,UNIFORM,0.5,0.0,101,163
512,UNIFORM,0.75,0.008,42,161
512,NORMAL,0.25,0.0,105,163
512,NORMAL,0.5,0.017,86,162
512,NORMAL,0.75,0.015,58,161
1024,UNIFORM,0.25,0.005,285,327
1024,UNIFORM,0.5,0.015,155,322
1024,UNIFORM,0.75,0.005,80,320
1024,NORMAL,0.25,0.0,229,325
1024,NORMAL,0.5,0.0,241,325
1024,NORMAL,0.75,0.0,63,320
2048,UNIFORM,0.25,0.002,521,646
2048,UNIFORM,0.5,0.0,329,640
2048,UNIFORM,0.75,0.0,186,635
2048,NORMAL,0.25,0.016,572,649
2048,NORMAL,0.5,0.003,340,641
2048,NORMAL,0.75,0.006,189,638
4096,UNIFORM,0.25,0.031,975,1289
4096,UNIFORM,0.5,0.047,646,1278
4096,UNIFORM,0.75,0.031,360,1269
4096,NORMAL,0.25,0.03,1235,1299
4096,NORMAL,0.5,0.039,600,1278
4096,NORMAL,0.75,0.031,338,1270
8192,UNIFORM,0.25,0.203,1989,2575
8192,UNIFORM,0.5,0.149,1286,2551
8192,UNIFORM,0.75,0.123,619,2530
8192,NORMAL,0.25,0.101,1998,2578
8192,NORMAL,0.5,0.132,1392,2559
8192,NORMAL,0.75,0.116,632,2535
16384,UNIFORM,0.25,0.326,3895,5145
16384,UNIFORM,0.5,0.461,2465,5098
16384,UNIFORM,0.75,0.419,1191,5055
16384,NORMAL,0.25,0.384,4703,5174
16384,NORMAL,0.5,0.469,2676,5110
16384,NORMAL,0.75,0.499,1269,5066
32768,UNIFORM,0.25,1.06,7412,10275
32768,UNIFORM,0.5,1.746,4567,10178
32768,UNIFORM,0.75,1.877,2073,10095
32768,NORMAL,0.25,1.354,8102,10301
32768,NORMAL,0.5,2.239,5349,10217
32768,NORMAL,0.75,2.452,2148,10120
65536,UNIFORM,0.25,5.097,13762,20510
65536,UNIFORM,0.5,10.812,7485,20298
65536,UNIFORM,0.75,11.245,3165,20160
65536,NORMAL,0.25,6.701,16007,20596
65536,NORMAL,0.5,11.339,8328,20356
65536,NORMAL,0.75,10.617,3614,20211
131072,UNIFORM,0.25,27.31,22490,40851
131072,UNIFORM,0.5,48.744,10221,40446
131072,UNIFORM,0.75,51.918,3549,40222
131072,NORMAL,0.25,38.162,24510,40943
131072,NORMAL,0.5,67.816,11832,40553
131072,NORMAL,0.75,70.80199999999999,5466,40365
262144,UNIFORM,0.25,180.142,31836,81295
262144,UNIFORM,0.5,279.183,10152,80572
262144,UNIFORM,0.75,224.298,2393,80307
262144,NORMAL,0.25,164.196,38244,81566
262144,NORMAL,0.5,240.11,20278,81007
262144,NORMAL,0.75,277.616,9175,80683
524288,UNIFORM,0.25,492.246,30038,161636
524288,UNIFORM,0.5,781.615,4474,160720
524288,UNIFORM,0.75,767.519,584,160537
524288,NORMAL,0.25,491.729,61659,162780
524288,NORMAL,0.5,840.52,33296,161887
524288,NORMAL,0.75,967.853,13721,161283
1048576,UNIFORM,0.25,2140.449,13781,321967
1048576,UNIFORM,0.5,3402.604,554,321286
1048576,UNIFORM,0.75,2949.434,11,321125
1048576,NORMAL,0.25,2161.798,96990,324941
1048576,NORMAL,0.5,3493.733,49199,323410
1048576,NORMAL,0.75,3244.99,21697,322536
2097152,UNIFORM,0.25,9213.752,1499,643162
