Segments,Distribution,Balance,Time,Intersections,I/O accesses
512,UNIFORM,0.25,0.016,130,379
512,UNIFORM,0.5,0.047,90,375
512,UNIFORM,0.75,0.016,34,372
512,NORMAL,0.25,0.0,129,378
512,NORMAL,0.5,0.0,122,377
512,NORMAL,0.75,0.0,64,375
1024,UNIFORM,0.25,0.016,260,752
1024,UNIFORM,0.5,0.016,158,745
1024,UNIFORM,0.75,0.129,97,741
1024,NORMAL,0.25,0.0,345,758
1024,NORMAL,0.5,0.031,209,750
1024,NORMAL,0.75,0.031,88,741
2048,UNIFORM,0.25,0.078,478,1498
2048,UNIFORM,0.5,0.032,299,1486
2048,UNIFORM,0.75,0.016,159,1476
2048,NORMAL,0.25,0.125,470,1501
2048,NORMAL,0.5,0.016,291,1488
2048,NORMAL,0.75,0.031,222,1484
4096,UNIFORM,0.25,0.062,952,2994
4096,UNIFORM,0.5,0.187,673,2975
4096,UNIFORM,0.75,0.062,304,2948
4096,NORMAL,0.25,0.047,961,2999
4096,NORMAL,0.5,0.078,632,2978
4096,NORMAL,0.75,0.047,357,2958
8192,UNIFORM,0.25,0.14,2012,5995
8192,UNIFORM,0.5,0.176,1415,5951
8192,UNIFORM,0.75,0.204,630,5894
8192,NORMAL,0.25,0.125,2572,6040
8192,NORMAL,0.5,0.219,1442,5963
8192,NORMAL,0.75,0.196,680,5913
16384,UNIFORM,0.25,0.515,3914,11981
16384,UNIFORM,0.5,0.75,2439,11872
16384,UNIFORM,0.75,0.798,1200,11780
16384,NORMAL,0.25,0.547,3718,11973
16384,NORMAL,0.5,0.969,2604,11908
16384,NORMAL,0.75,0.875,1369,11825
32768,UNIFORM,0.25,1.801,7525,23924
32768,UNIFORM,0.5,3.078,4479,23715
32768,UNIFORM,0.75,3.126,2002,23531
32768,NORMAL,0.25,2.078,7979,23984
32768,NORMAL,0.5,3.516,4719,23772
32768,NORMAL,0.75,3.438,2154,23610
65536,UNIFORM,0.25,8.436,13817,47778
65536,UNIFORM,0.5,15.119,7565,47340
65536,UNIFORM,0.75,7.344,9962,47471
65536,NORMAL,0.25,10.502,13203,47785
65536,NORMAL,0.5,16.277,8522,47486
65536,NORMAL,0.75,9.209,10100,47604
131072,UNIFORM,0.25,42.937,22430,95230
131072,UNIFORM,0.5,33.015,34973,96012
131072,UNIFORM,0.75,15.513,19549,94901
131072,NORMAL,0.25,51.36,24703,95481
131072,NORMAL,0.5,38.137,37250,96323
131072,NORMAL,0.75,18.74,21317,95287
262144,UNIFORM,0.25,83.186,105803,194651
262144,UNIFORM,0.5,45.581,71977,192228
262144,UNIFORM,0.75,26.71,35155,189641
262144,NORMAL,0.25,97.655,114479,195454
262144,NORMAL,0.5,58.508,77580,192991
262144,NORMAL,0.75,34.434,41633,190592
524288,UNIFORM,0.25,106.818,215784,389933
524288,UNIFORM,0.5,87.544,132841,383978
524288,UNIFORM,0.75,52.566,66510,379216
524288,NORMAL,0.25,145.922,251511,392741
524288,NORMAL,0.5,101.084,162905,386771
524288,NORMAL,0.75,60.969,78155,381090
